,location,crop,season,indicator,Unit,Date,Value,State,mean
0,Adilabad,Rice,Total,Area (In Hectare),hectare,1999,78600.0,Telangana,79.6026315789
1,Adilabad,Rice,Total,Area (In Hectare),hectare,2000,77368.0,Telangana,79.6026315789
2,Adilabad,Rice,Total,Area (In Hectare),hectare,2001,77473.0,Telangana,79.6026315789
3,Adilabad,Rice,Total,Area (In Hectare),hectare,2002,77144.0,Telangana,79.6026315789
4,Adilabad,Rice,Total,Area (In Hectare),hectare,2003,76794.0,Telangana,79.6026315789
5,Adilabad,Rice,Total,Area (In Hectare),hectare,2004,80920.0,Telangana,79.6026315789
6,Adilabad,Rice,Total,Area (In Hectare),hectare,2005,39621.0,Telangana,79.6026315789
7,Adilabad,Rice,Total,Area (In Hectare),hectare,2006,78750.0,Telangana,79.6026315789
8,Adilabad,Rice,Total,Area (In Hectare),hectare,2007,73762.0,Telangana,79.6026315789
9,Adilabad,Rice,Total,Area (In Hectare),hectare,2008,52000.0,Telangana,79.6026315789
10,Adilabad,Rice,Total,Area (In Hectare),hectare,2009,77294.0,Telangana,79.6026315789
11,Adilabad,Rice,Total,Area (In Hectare),hectare,2010,48118.0,Telangana,79.6026315789
12,Adilabad,Rice,Total,Area (In Hectare),hectare,2011,90547.0,Telangana,79.6026315789
13,Adilabad,Rice,Total,Area (In Hectare),hectare,2012,76170.0,Telangana,79.6026315789
14,Adilabad,Rice,Total,Production (In Tonnes),tonnes,1999,185800.0,Telangana,79.6026315789
15,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2000,189067.0,Telangana,79.6026315789
16,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2001,167258.0,Telangana,79.6026315789
17,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2002,173741.0,Telangana,79.6026315789
18,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2003,121898.0,Telangana,79.6026315789
19,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2004,200748.0,Telangana,79.6026315789
20,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2005,62882.0,Telangana,79.6026315789
21,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2006,200784.0,Telangana,79.6026315789
22,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2007,177866.0,Telangana,79.6026315789
23,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2008,124000.0,Telangana,79.6026315789
24,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2009,198382.0,Telangana,79.6026315789
25,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2010,98499.0,Telangana,79.6026315789
26,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2011,255154.0,Telangana,79.6026315789
27,Adilabad,Rice,Total,Production (In Tonnes),tonnes,2012,199326.0,Telangana,79.6026315789
28,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,1999,2.3638676845,Telangana,79.6026315789
29,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2000,2.4437364285,Telangana,79.6026315789
30,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2001,2.1589198818,Telangana,79.6026315789
31,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2002,2.2521647827,Telangana,79.6026315789
32,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2003,1.5873375524,Telangana,79.6026315789
33,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2004,2.4808205635,Telangana,79.6026315789
34,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2005,1.5870876555,Telangana,79.6026315789
35,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2006,2.5496380952,Telangana,79.6026315789
36,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2007,2.4113500176,Telangana,79.6026315789
37,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2008,2.3846153846,Telangana,79.6026315789
38,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2009,2.5665899035,Telangana,79.6026315789
39,Adilabad,Rice,Total,Yield (Tonnes/Hect.),Tonnes/Hect,2010,2.0470302174,Telangana,79.6026315789
