"Sub-division ","January 2010 Actual (in millimetre)","January  2010 Normal (in  millimetre)","January 2011 Actual (in  millimetre)","February  2010 Actual (in  millimetre)","February  2010 Normal (in  millimetre)","February  2011 Actual (in  millimetre)","March 2010 Actual (in  millimetre)","March  2010 Normal (in  millimetre)","March  2011 Actual (in  millimetre)","March   2010 Normal (in  millimetre)","     April 2010 Actual (in  millimetre)","April  2010 Normal (in  millimetre)","     April 2011 Actual (in  millimetre)","May  2010 Actual (in  millimetre) (in  millimetre)","May  2010 Normal (in  millimetre)","May 2011 Actual (in  millimetre)","June 2010 Actual (in  millimetre)","June  2010 Normal (in  millimetre)","June  2011 Actual (in  millimetre)","July 2010 Actual (in  millimetre)","July  2010 Normal (in  millimetre)","July 2011 Actual (in  millimetre)"," August  2010 Actual (in  millimetre)","August  2010 Normal (in  millimetre)"," August 2011 Actual (in  millimetre)","  September 2010 Actual (in  millimetre)","September  2010 Normal (in  millimetre)","  September 2011 Actual (in  millimetre)","   October  2010 Actual (in  millimetre)","october  2010 Normal (in  millimetre)","   October  2011 Actual (in  millimetre)","October  2010 Normal (in  millimetre)","   November 2010 Actual (in  millimetre)","November  2010 Normal (in  millimetre)","   November 2011 Actual (in  millimetre)","   December 2010 Actual (in  millimetre)","December  2010 Normal (in  millimetre)","   December 2011 Actual (in  millimetre)"
"Andaman and Nicobar Islands ","98.2","53.7","222.5","5.8","29.2","81.9","0.4","20.5","305.5","25.0","12.7","81.5","83.7","310.7","358.5","305.7","435.0","438.6","418.4","522.1","407.7","575.8","550.0","403.8","513.0","261.3","432.4","770.9","415.2","297.8","183.8","296.7","281.4","253.7","126.0","254.4","145.5","246.3"
"Arunachal Pradesh","0.4","50.1","37.6","10.0","98.0","36.8","143.6","164.4","121.5","179.7","245.8","278.8","114.7","273.8","291.9","157.8","397.3","500.4","336.8","426.0","536.1","553.5","343.3","359.9","225.8","407.4","371.6","262.0","84.4","159.1","46.8","183.0","59.7","45.8","19.8","6.0","38.4","10.3"
"Assam and Meghalaya","0.2","16.4","9.0","3.4","30.5","11.5","105.1","84.6","114.8","77.7","397.4","181.2","77.3","349.4","331.3","235.1","485.8","502.3","323.7","374.3","553.9","399.6","346.2","410.3","320.0","316.2","326.3","213.3","103.4","167.2","36.8","154.8","10.3","28.4","14.8","7.0","11.8","2.4"
"Nagaland,Manipur, Mizoram, and Tripura","0.9","13.7","7.9","10.9","30.3","4.2","59.4","67.5","50.2","76.8","170.4","149.4","58.3","312.1","267.9","360.1","402.9","412.1","343.7","272.6","415.0","262.7","326.0","380.1","275.8","235.9","289.7","212.3","202.7","169.1","79.8","179.8","5.0","50.7","0.0","28.4","12.5","0.0"
"Sub-Himalayan,West Bengal & Sikkim ","1.7","26.6","7.1","6.4","33.7","19.3","34.9","58.8","48.6","63.6","166.8","123.7","129.2","332.2","269.8","219.6","568.1","485.2","433.0","667.9","615.8","602.5","551.4","495.2","457.8","399.2","410.0","378.1","90.8","158.6","40.1","154.2","27.4","20.3","21.1","2.5","10.8","3.6"
"Gangetic West Bengal","2.4","13.5","2.6","14.1","20.9","2.8","6.4","26.0","40.9","28.0","13.6","42.1","89.9","123.7","94.7","114.4","200.2","244.4","428.6","193.8","331.7","225.9","187.6","312.3","445.5","205.8","279.5","291.6","99.4","127.0","28.6","129.3","5.8","23.3","0.9","31.6","7.5","0.0"
"Orissa","9.9","10.8","0.3","2.4","21.0","20.7","6.0","24.9","4.4","27.0","9.6","37.5","62.8","91.9","70.2","80.3","154.0","214.1","215.3","315.4","337.0","203.0","286.8","362.1","336.9","235.7","236.7","352.3","142.6","122.2","23.3","111.6","38.0","27.7","0.0","40.0","4.8","0.9"
"Bihar Plateau","0.8","16.1","5.3","2.1","17.3","1.1","2.7","19.4","10.8","17.1","12.9","18.4","24.9","38.6","43.9","46.3","108.3","197.5","329.4","181.4","334.6","161.6","182.9","315.8","387.0","175.5","244.0","282.6","59.5","83.1","25.7","75.2","4.5","9.9","0.0","34.5","6.5","0.1"
"Bihar Plains","0.2","13.3","2.6","1.9","9.7","6.1","0.2","11.0","8.4","10.1","3.4","16.3","30.3","84.7","51.1","101.0","114.7","168.5","232.8","277.2","343.5","258.8","228.7","291.6","299.3","175.2","224.0","267.7","53.4","70.1","7.3","64.8","1.9","6.9","2.9","0.4","5.8","0.1"
"Uttar Pradesh East","2.9","16.8","1.7","12.9","12.1","8.4","0.0","9.4","4.8","9.1","0.1","5.6","3.9","18.0","17.0","33.6","29.2","107.8","171.5","236.1","298.0","214.9","240.5","294.5","258.7","196.7","197.3","176.3","16.8","51.1","1.1","49.2","5.1","4.5","0.0","0.2","6.7","0.0"
